country,year,cereal_yield_cereal_yield,food_production_index_food_production_index,gdp_per_capita_gdp_per_capita,gini_index_gini_index,Inflation_inflation,military_expenditure_military_expenditure,poverty_rate_poverty_rate,unemployment_total_unemployment_total,youth_unemployment_youth_unemployment,yearly_weather_average_T2M,yearly_weather_average_T2M_MAX,yearly_weather_average_T2M_MIN,yearly_weather_average_PRECTOTCORR,yearly_weather_average_QV2M,yearly_weather_average_RH2M,yearly_weather_average_WS10M,yearly_weather_average_ALLSKY_SFC_SW_DWN,acled_disorder_summary_by_country_year_Demonstrations,acled_disorder_summary_by_country_year_Political violence,acled_disorder_summary_by_country_year_Strategic developments,acled_disorder_summary_by_country_year_total_fatalities,dbscan_cluster,kmeans_cluster,gmm_cluster
Egypt,2000,7280.1,70.23,1366.09274372613,,2.68380535348546,2.55126513982739,,8.98,24.99,20.958169398907103,28.8327868852459,13.817868852459016,0.0012021857923497,5.366475409836066,39.10049180327869,4.465464480874316,6.477622950819672,,,,,0,4,4
Egypt,2001,7099.4,68.8,1295.1374184163,,2.26975720475956,2.98556856033807,,9.26,27.632,21.78254794520548,29.688876712328767,14.70731506849315,0.0011506849315068,5.39772602739726,36.909506849315065,4.351835616438357,6.485479452054794,,,,,0,1,4
Egypt,2002,7445.6,74.43,1116.82884626213,,2.73723855000334,3.27845479650374,,10.01,26.4,21.970219178082196,29.883150684931508,14.846739726027398,0.0034246575342465,5.485397260273973,37.00945205479452,4.391150684931507,6.454082191780821,,,,,0,1,4
Egypt,2003,7515.4,77.52,1031.27556291284,,4.50777636319304,3.17728527009726,,10.91,29.427,21.86419178082192,29.76945205479452,14.788,0.0005479452054794,5.277534246575343,35.34041095890411,4.324931506849315,6.4151780821917805,,,,,0,1,4
Egypt,2004,7556.2,79.01,991.255689145253,31.8,11.270619332052,2.87753123653597,3.1,10.32,28.373,21.88775956284153,29.925081967213117,14.784890710382514,0.0030327868852459,5.17344262295082,35.10084699453552,4.307185792349727,6.465546448087431,,,,,0,4,4
Egypt,2005,7536.9,82.76,1104.80340733395,,4.86939696871988,2.71422040657605,,11.049,31.24,21.66567123287671,29.48542465753425,14.716356164383562,0.0034246575342465,5.464493150684931,36.97482191780822,4.3053698630136985,6.43813698630137,,,,,0,1,4
Egypt,2006,7500.2,88.14,1298.97900203124,,7.64452644526434,2.60621860261331,,10.49,30.516,21.48928767123288,29.352301369863014,14.470520547945204,0.000904109589041,5.349205479452055,36.80591780821918,4.176630136986302,6.408246575342466,,,,,0,1,4
Egypt,2007,7418.5,90.96,1547.74170735909,,9.3189690579923,2.37963467509709,,8.8,25.076,21.76164383561644,29.61950684931507,14.747945205479452,0.0018356164383561,5.338904109589041,36.558328767123285,4.142493150684931,6.415095890410959,,,,,0,1,4
Egypt,2008,7452.2,95.02,1896.21594269779,31.1,18.3168316831684,2.18078548537016,2.9,8.517,25.536,22.065737704918035,29.96445355191257,14.979016393442622,0.0101092896174863,5.31568306010929,35.85,4.13483606557377,6.513497267759563,,,,,0,1,4
Egypt,2009,7158.3,95.11,2161.63964573927,,11.7634954386443,2.03264504307225,,9.087,25.219,21.821123287671234,29.656986301369862,14.798849315068493,0.0005479452054794,5.19627397260274,34.31901369863014,4.098657534246575,6.470767123287671,,,,,0,1,4
Egypt,2010,6504.3,90.02,2455.08194645282,30.2,11.2651882653185,1.95296705174529,1.0,8.757,24.583,23.374931506849315,31.548712328767124,16.24205479452055,0.0033424657534246,5.517479452054795,33.24139726027398,4.231260273972603,6.447260273972603,,,,,0,1,4
Egypt,2011,7246.3,93.28,2590.64384891965,,10.0649259874818,1.83702551137618,,11.849,29.425,21.100931506849317,28.808136986301367,14.188109589041096,0.0176438356164383,5.528054794520548,39.02597260273973,4.26772602739726,6.448301369863014,,,,,0,4,4
Egypt,2012,7269.0,98.38,2996.0677072015,28.3,7.11172943343083,1.64817579267929,0.9,12.597,34.44,21.71704918032787,29.451775956284155,14.751748633879782,0.0050273224043715,5.426967213114754,36.46234972677596,4.074453551912568,6.33879781420765,,,,,0,4,4
Egypt,2013,7285.3,96.03,3025.52563552448,,9.46971981064921,1.61005697699419,,13.154,34.119,21.74605479452055,29.61432876712329,14.64627397260274,0.0081917808219178,5.431534246575343,36.356,4.344109589041096,6.374986301369863,,,,,0,1,4
Egypt,2014,7085.0,99.73,3133.39102265541,,10.0702154687481,1.68969483568075,,13.105,32.198,22.172054794520548,29.98372602739726,15.162027397260276,0.0032054794520547,5.666054794520548,37.1382191780822,4.146767123287671,6.390931506849316,,,,,0,1,4
Egypt,2015,7117.3,101.5,3306.98159414141,31.8,10.370490343517,1.72314742829085,0.9,13.052,34.16,22.08594520547945,29.69290410958904,15.182767123287672,0.0026027397260273,5.77854794520548,37.71567123287671,4.364794520547945,6.318027397260273,177.0,569.0,66.0,2288.0,0,4,4
Egypt,2016,7251.5,98.77,3270.6287768197,,13.813606214829,1.66660515243227,,12.45,33.655,22.124234972677595,29.88603825136612,15.168715846994536,0.0777868852459016,5.890901639344262,39.52497267759563,4.414071038251366,6.348497267759563,237.0,467.0,29.0,1721.0,0,1,4
Egypt,2017,7400.6,100.98,2395.10333299491,31.5,29.5066083940039,1.42203170028818,2.5,11.767,32.644,21.608520547945204,29.38841095890411,14.698821917808218,0.015917808219178,5.830219178082192,40.04706849315068,4.295753424657534,6.36227397260274,125.0,435.0,28.0,1544.0,0,4,4
Egypt,2018,6776.0,96.36,2484.70315630508,,14.4014657807422,1.24996619642133,,9.855,26.252,22.764712328767125,30.537150684931504,15.938410958904113,0.011945205479452,6.023369863013699,38.16945205479452,4.227260273972603,6.338657534246575,77.0,386.0,34.0,1115.0,0,1,4
Egypt,2019,6047.0,100.63,2962.98892023003,31.9,9.15279959324804,1.18097179684711,1.5,7.851,20.631,22.164328767123287,29.89654794520548,15.21372602739726,0.018931506849315,5.6267945205479455,36.46095890410959,4.153945205479452,6.404657534246575,112.0,536.0,55.0,1003.0,0,1,4
Egypt,2020,7166.1,104.38,3511.11381026379,,5.04493288977539,1.12247550332399,,7.974,18.463,22.022814207650278,29.746967213114758,15.05775956284153,0.0218852459016393,6.099672131147541,40.918306010928966,4.285054644808743,6.406693989071038,106.0,510.0,24.0,626.0,0,1,4
Egypt,2021,7338.5,109.2,3827.35415374308,,5.21404940513043,1.12200927143154,,7.441,18.21,22.393479452054795,30.29564383561644,15.37627397260274,0.0142739726027397,5.857808219178082,38.38487671232877,4.379123287671233,6.448602739726026,35.0,266.0,12.0,264.0,0,1,4
Egypt,2022,7418.5,109.07,4233.30783744856,,13.8956609775178,1.04848151432161,,7.344,19.058,21.65254794520548,29.292438356164386,14.842849315068491,0.0086027397260273,5.923753424657535,40.26739726027397,4.40682191780822,6.399095890410959,47.0,193.0,7.0,274.0,0,1,4
Egypt,2023,,,3457.45691570455,,33.8847763115546,0.870565509711049,,7.334,19.073,22.75619178082192,30.42142465753425,15.917671232876712,0.0322739726027397,6.185150684931506,39.39219178082192,4.343123287671233,6.342684931506849,173.0,21.0,11.0,31.0,0,1,4
Egypt,2024,,,,,,,,,,,,,,,,,,91.0,27.0,9.0,21.0,0,0,5
Egypt,2025,,,,,,,,,,,,,,,,,,98.0,12.0,5.0,16.0,0,0,5
Ethiopia,2000,1116.3,40.55,122.269202606069,,0.662458109266482,7.61384390577726,,3.5,5.128,25.72254098360656,33.555983606557376,19.220245901639345,1.0864207650273223,9.390737704918031,42.56631147540984,3.008387978142076,6.2228415300546445,,,,,-1,2,2
Ethiopia,2001,1198.0,42.57,118.457204255261,,-8.23784453391137,4.34902077753107,,3.176,4.699,25.76408219178082,33.44293150684931,19.435671232876714,1.4146027397260277,10.123561643835616,45.80873972602739,2.8253424657534247,5.762630136986302,,,,,1,2,2
Ethiopia,2002,1353.7,47.96,109.593813612988,,0.675089102170801,3.71938809903571,,3.06,4.477,26.36260273972603,34.095041095890416,19.899534246575342,1.2144109589041097,10.076767123287672,44.32780821917808,2.892575342465753,5.970000000000001,,,,,1,2,2
Ethiopia,2003,1123.3,49.02,116.800491132777,,13.6740452028272,3.23884273442423,,2.995,4.304,26.0592602739726,33.74405479452055,19.7427397260274,1.2620547945205478,10.0693698630137,45.12369863013699,2.952219178082192,6.027561643835616,,,,,1,2,2
Ethiopia,2004,1162.6,52.07,133.169812538096,29.8,3.32737047894847,3.07265040654432,34.6,2.767,3.973,26.019071038251365,33.754371584699456,19.620300546448085,1.215601092896175,9.921393442622952,44.44234972677596,2.980983606557377,6.081420765027323,,,,,1,2,2
Ethiopia,2005,1361.4,57.38,158.243458082465,,9.96997123512892,2.81221837499407,,2.497,3.602,25.665972602739725,33.312657534246576,19.39704109589041,1.5034794520547945,10.196931506849316,46.11153424657534,2.8674246575342464,6.132712328767124,,,,,1,2,2
Ethiopia,2006,1563.3,59.6,189.345737521418,,12.2994763114825,2.30714932404438,,2.351,3.464,25.152602739726028,32.519780821917806,19.184794520547943,2.2195890410958903,11.157506849315068,52.53257534246576,2.7174794520547945,5.928356164383562,,,,,1,2,2
Ethiopia,2007,1441.0,64.2,237.146255996319,,17.2404008340898,1.89627732982541,,2.347,3.468,25.09794520547945,32.66095890410959,18.93572602739726,2.053835616438356,10.536109589041097,49.22613698630137,2.786410958904109,6.065287671232877,,,,,1,2,2
Ethiopia,2008,1418.4,67.89,316.410475118075,,44.3566858766952,1.51584796368311,,2.335,3.462,24.929016393442623,32.606475409836065,18.65989071038252,1.8919945355191257,9.71084699453552,46.07232240437159,2.8835519125683065,6.288469945355191,,,,,1,2,2
Ethiopia,2009,1647.1,72.11,368.574712267445,,8.48364404530282,1.20460157802807,,2.331,3.465,25.83835616438356,33.26997260273973,19.69076712328767,1.8082465753424657,10.40786301369863,47.13295890410959,2.723671232876712,6.106821917808219,,,,,1,2,2
Ethiopia,2010,1767.3,82.49,330.619412798644,33.2,8.14926402965082,1.15394252706819,30.8,2.3,3.44,24.646054794520545,31.731890410958904,18.93791780821918,2.8186575342465754,11.49208219178082,54.67923287671233,2.620931506849315,5.740438356164384,,,,,1,2,2
