country,year,acled_disorder_summary_by_country_year_Demonstrations,acled_disorder_summary_by_country_year_Political violence,acled_disorder_summary_by_country_year_Strategic developments,acled_disorder_summary_by_country_year_total_fatalities,mega_dataset_acled_disorder_summary_by_country_year_Demonstrations,mega_dataset_acled_disorder_summary_by_country_year_Political violence,mega_dataset_acled_disorder_summary_by_country_year_Strategic developments,mega_dataset_acled_disorder_summary_by_country_year_total_fatalities,mega_dataset_mega_dataset_acled_disorder_summary_by_country_year_Demonstrations,mega_dataset_mega_dataset_acled_disorder_summary_by_country_year_Political violence,mega_dataset_mega_dataset_acled_disorder_summary_by_country_year_Strategic developments,mega_dataset_mega_dataset_acled_disorder_summary_by_country_year_total_fatalities,mega_dataset_mega_dataset_cereal_yield_iso3,mega_dataset_mega_dataset_cereal_yield_cereal_yield,mega_dataset_mega_dataset_food_production_index_iso3,mega_dataset_mega_dataset_food_production_index_food_production_index,mega_dataset_mega_dataset_gdp_per_capita_iso3,mega_dataset_mega_dataset_gdp_per_capita_gdp_per_capita,mega_dataset_mega_dataset_gini_index_iso3,mega_dataset_mega_dataset_gini_index_gini_index,mega_dataset_mega_dataset_Inflation_iso3,mega_dataset_mega_dataset_Inflation_inflation,mega_dataset_mega_dataset_military_expenditure_iso3,mega_dataset_mega_dataset_military_expenditure_military_expenditure,mega_dataset_mega_dataset_poverty_rate_iso3,mega_dataset_mega_dataset_poverty_rate_poverty_rate,mega_dataset_mega_dataset_unemployment_total_iso3,mega_dataset_mega_dataset_unemployment_total_unemployment_total,mega_dataset_mega_dataset_youth_unemployment_iso3,mega_dataset_mega_dataset_youth_unemployment_youth_unemployment,mega_dataset_mega_dataset_yearly_weather_average_T2M,mega_dataset_mega_dataset_yearly_weather_average_T2M_MAX,mega_dataset_mega_dataset_yearly_weather_average_T2M_MIN,mega_dataset_mega_dataset_yearly_weather_average_PRECTOTCORR,mega_dataset_mega_dataset_yearly_weather_average_QV2M,mega_dataset_mega_dataset_yearly_weather_average_RH2M,mega_dataset_mega_dataset_yearly_weather_average_WS10M,mega_dataset_mega_dataset_yearly_weather_average_ALLSKY_SFC_SW_DWN,mega_dataset_cereal_yield_iso3,mega_dataset_cereal_yield_cereal_yield,mega_dataset_food_production_index_iso3,mega_dataset_food_production_index_food_production_index,mega_dataset_gdp_per_capita_iso3,mega_dataset_gdp_per_capita_gdp_per_capita,mega_dataset_gini_index_iso3,mega_dataset_gini_index_gini_index,mega_dataset_Inflation_iso3,mega_dataset_Inflation_inflation,mega_dataset_military_expenditure_iso3,mega_dataset_military_expenditure_military_expenditure,mega_dataset_poverty_rate_iso3,mega_dataset_poverty_rate_poverty_rate,mega_dataset_unemployment_total_iso3,mega_dataset_unemployment_total_unemployment_total,mega_dataset_youth_unemployment_iso3,mega_dataset_youth_unemployment_youth_unemployment,mega_dataset_yearly_weather_average_T2M,mega_dataset_yearly_weather_average_T2M_MAX,mega_dataset_yearly_weather_average_T2M_MIN,mega_dataset_yearly_weather_average_PRECTOTCORR,mega_dataset_yearly_weather_average_QV2M,mega_dataset_yearly_weather_average_RH2M,mega_dataset_yearly_weather_average_WS10M,mega_dataset_yearly_weather_average_ALLSKY_SFC_SW_DWN,cereal_yield_iso3,cereal_yield_cereal_yield,food_production_index_iso3,food_production_index_food_production_index,gdp_per_capita_iso3,gdp_per_capita_gdp_per_capita,gini_index_iso3,gini_index_gini_index,Inflation_iso3,Inflation_inflation,military_expenditure_iso3,military_expenditure_military_expenditure,poverty_rate_iso3,poverty_rate_poverty_rate,unemployment_total_iso3,unemployment_total_unemployment_total,youth_unemployment_iso3,youth_unemployment_youth_unemployment,yearly_weather_average_T2M,yearly_weather_average_T2M_MAX,yearly_weather_average_T2M_MIN,yearly_weather_average_PRECTOTCORR,yearly_weather_average_QV2M,yearly_weather_average_RH2M,yearly_weather_average_WS10M,yearly_weather_average_ALLSKY_SFC_SW_DWN
Egypt,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66567123287671,29.48542465753425,14.716356164383562,0.0034246575342465,5.464493150684931,36.97482191780822,4.3053698630136985,6.43813698630137,EGY,7536.9,EGY,82.76,EGY,1104.80340733395,,,EGY,4.86939696871988,EGY,2.71422040657605,,,EGY,11.049,EGY,31.24,21.66567123287671,29.48542465753425,14.716356164383562,0.0034246575342465,5.464493150684931,36.97482191780822,4.3053698630136985,6.43813698630137,EGY,7536.9,EGY,82.76,EGY,1104.80340733395,,,EGY,4.86939696871988,EGY,2.71422040657605,,,EGY,11.049,EGY,31.24,21.66567123287671,29.48542465753425,14.716356164383562,0.0034246575342465,5.464493150684931,36.97482191780822,4.3053698630136985,6.43813698630137
Egypt,2005,,,,,,,,,,,,,EGY,7536.9,EGY,82.76,EGY,1104.80340733395,,,EGY,4.86939696871988,EGY,2.71422040657605,,,EGY,11.049,EGY,31.24,,,,,,,,,EGY,7536.9,EGY,82.76,EGY,1104.80340733395,,,EGY,4.86939696871988,EGY,2.71422040657605,,,EGY,11.049,EGY,31.24,21.66567123287671,29.48542465753425,14.716356164383562,0.0034246575342465,5.464493150684931,36.97482191780822,4.3053698630136985,6.43813698630137,EGY,7536.9,EGY,82.76,EGY,1104.80340733395,,,EGY,4.86939696871988,EGY,2.71422040657605,,,EGY,11.049,EGY,31.24,21.66567123287671,29.48542465753425,14.716356164383562,0.0034246575342465,5.464493150684931,36.97482191780822,4.3053698630136985,6.43813698630137
Egypt,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.48928767123288,29.352301369863014,14.470520547945204,0.000904109589041,5.349205479452055,36.80591780821918,4.176630136986302,6.408246575342466,EGY,7500.2,EGY,88.14,EGY,1298.97900203124,,,EGY,7.64452644526434,EGY,2.60621860261331,,,EGY,10.49,EGY,30.516,21.48928767123288,29.352301369863014,14.470520547945204,0.000904109589041,5.349205479452055,36.80591780821918,4.176630136986302,6.408246575342466,EGY,7500.2,EGY,88.14,EGY,1298.97900203124,,,EGY,7.64452644526434,EGY,2.60621860261331,,,EGY,10.49,EGY,30.516,21.48928767123288,29.352301369863014,14.470520547945204,0.000904109589041,5.349205479452055,36.80591780821918,4.176630136986302,6.408246575342466
Egypt,2006,,,,,,,,,,,,,EGY,7500.2,EGY,88.14,EGY,1298.97900203124,,,EGY,7.64452644526434,EGY,2.60621860261331,,,EGY,10.49,EGY,30.516,,,,,,,,,EGY,7500.2,EGY,88.14,EGY,1298.97900203124,,,EGY,7.64452644526434,EGY,2.60621860261331,,,EGY,10.49,EGY,30.516,21.48928767123288,29.352301369863014,14.470520547945204,0.000904109589041,5.349205479452055,36.80591780821918,4.176630136986302,6.408246575342466,EGY,7500.2,EGY,88.14,EGY,1298.97900203124,,,EGY,7.64452644526434,EGY,2.60621860261331,,,EGY,10.49,EGY,30.516,21.48928767123288,29.352301369863014,14.470520547945204,0.000904109589041,5.349205479452055,36.80591780821918,4.176630136986302,6.408246575342466
Egypt,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.76164383561644,29.61950684931507,14.747945205479452,0.0018356164383561,5.338904109589041,36.558328767123285,4.142493150684931,6.415095890410959,EGY,7418.5,EGY,90.96,EGY,1547.74170735909,,,EGY,9.3189690579923,EGY,2.37963467509709,,,EGY,8.8,EGY,25.076,21.76164383561644,29.61950684931507,14.747945205479452,0.0018356164383561,5.338904109589041,36.558328767123285,4.142493150684931,6.415095890410959,EGY,7418.5,EGY,90.96,EGY,1547.74170735909,,,EGY,9.3189690579923,EGY,2.37963467509709,,,EGY,8.8,EGY,25.076,21.76164383561644,29.61950684931507,14.747945205479452,0.0018356164383561,5.338904109589041,36.558328767123285,4.142493150684931,6.415095890410959
Egypt,2007,,,,,,,,,,,,,EGY,7418.5,EGY,90.96,EGY,1547.74170735909,,,EGY,9.3189690579923,EGY,2.37963467509709,,,EGY,8.8,EGY,25.076,,,,,,,,,EGY,7418.5,EGY,90.96,EGY,1547.74170735909,,,EGY,9.3189690579923,EGY,2.37963467509709,,,EGY,8.8,EGY,25.076,21.76164383561644,29.61950684931507,14.747945205479452,0.0018356164383561,5.338904109589041,36.558328767123285,4.142493150684931,6.415095890410959,EGY,7418.5,EGY,90.96,EGY,1547.74170735909,,,EGY,9.3189690579923,EGY,2.37963467509709,,,EGY,8.8,EGY,25.076,21.76164383561644,29.61950684931507,14.747945205479452,0.0018356164383561,5.338904109589041,36.558328767123285,4.142493150684931,6.415095890410959
Egypt,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.065737704918035,29.96445355191257,14.979016393442622,0.0101092896174863,5.31568306010929,35.85,4.13483606557377,6.513497267759563,EGY,7452.2,EGY,95.02,EGY,1896.21594269779,EGY,31.1,EGY,18.3168316831684,EGY,2.18078548537016,EGY,2.9,EGY,8.517,EGY,25.536,22.065737704918035,29.96445355191257,14.979016393442622,0.0101092896174863,5.31568306010929,35.85,4.13483606557377,6.513497267759563,EGY,7452.2,EGY,95.02,EGY,1896.21594269779,EGY,31.1,EGY,18.3168316831684,EGY,2.18078548537016,EGY,2.9,EGY,8.517,EGY,25.536,22.065737704918035,29.96445355191257,14.979016393442622,0.0101092896174863,5.31568306010929,35.85,4.13483606557377,6.513497267759563
Egypt,2008,,,,,,,,,,,,,EGY,7452.2,EGY,95.02,EGY,1896.21594269779,EGY,31.1,EGY,18.3168316831684,EGY,2.18078548537016,EGY,2.9,EGY,8.517,EGY,25.536,,,,,,,,,EGY,7452.2,EGY,95.02,EGY,1896.21594269779,EGY,31.1,EGY,18.3168316831684,EGY,2.18078548537016,EGY,2.9,EGY,8.517,EGY,25.536,22.065737704918035,29.96445355191257,14.979016393442622,0.0101092896174863,5.31568306010929,35.85,4.13483606557377,6.513497267759563,EGY,7452.2,EGY,95.02,EGY,1896.21594269779,EGY,31.1,EGY,18.3168316831684,EGY,2.18078548537016,EGY,2.9,EGY,8.517,EGY,25.536,22.065737704918035,29.96445355191257,14.979016393442622,0.0101092896174863,5.31568306010929,35.85,4.13483606557377,6.513497267759563
Egypt,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.821123287671234,29.656986301369862,14.798849315068493,0.0005479452054794,5.19627397260274,34.31901369863014,4.098657534246575,6.470767123287671,EGY,7158.3,EGY,95.11,EGY,2161.63964573927,,,EGY,11.7634954386443,EGY,2.03264504307225,,,EGY,9.087,EGY,25.219,21.821123287671234,29.656986301369862,14.798849315068493,0.0005479452054794,5.19627397260274,34.31901369863014,4.098657534246575,6.470767123287671,EGY,7158.3,EGY,95.11,EGY,2161.63964573927,,,EGY,11.7634954386443,EGY,2.03264504307225,,,EGY,9.087,EGY,25.219,21.821123287671234,29.656986301369862,14.798849315068493,0.0005479452054794,5.19627397260274,34.31901369863014,4.098657534246575,6.470767123287671
Egypt,2009,,,,,,,,,,,,,EGY,7158.3,EGY,95.11,EGY,2161.63964573927,,,EGY,11.7634954386443,EGY,2.03264504307225,,,EGY,9.087,EGY,25.219,,,,,,,,,EGY,7158.3,EGY,95.11,EGY,2161.63964573927,,,EGY,11.7634954386443,EGY,2.03264504307225,,,EGY,9.087,EGY,25.219,21.821123287671234,29.656986301369862,14.798849315068493,0.0005479452054794,5.19627397260274,34.31901369863014,4.098657534246575,6.470767123287671,EGY,7158.3,EGY,95.11,EGY,2161.63964573927,,,EGY,11.7634954386443,EGY,2.03264504307225,,,EGY,9.087,EGY,25.219,21.821123287671234,29.656986301369862,14.798849315068493,0.0005479452054794,5.19627397260274,34.31901369863014,4.098657534246575,6.470767123287671
